risk	status	scheme	english	hindi
972	NUMBERS-LOST	The West Bengal Incentive Scheme: State Capital Investment Subsidy	Group A: 7.5%, subject to a limit of ₹ 1,00,00,000/-, Group B: 10%, subject to a limit of ₹ 1,00,00,000/-, Group C: 15%, subject to a limit of ₹ 1,20,00,000/-, Group D: 20%, subject to a limit of ₹ 1,50,00,000/-.	
458	ok	"SUPER 30" Scheme	The scheme covers the coaching fees (capped at ₹1,00,000/-) & the accommodation fees of ₹1,40,000/- per annum (with 5% extra in 2nd year), for attaining a two-year coaching programme for JEE/ NEET at a nationally reputed Coaching Institution outside Tripura.	Yah scheme JEE/ NEET ke two-year coaching programme ke liye, Tripura ke bahar ek nationally reputed Coaching Institution mein, coaching fees (₹1,00,000). 000/- par capped) aur accommodation fees (₹1,40,000/- per annum, 2nd year mein 5% extra ke saath) cover karti hai.
450	ok	AGR 2 (Farm Mechanization) Scheme Of Farmers Other Than SC/ST	1. The beneficiary will get financial assistance for the purchase of agricultural equipment/components such as Power Tillers, Rice Transplanter, Self-Propelled Machinery, Tractor/ Power Tiller operated Implements /tools, Electric Motor operated, etc.	1. Beneficiary ko agricultural equipment/components jaise Power Tillers, Rice Transplanter, Self-Propelled Machinery, Tractor/ Power Tiller operated Implements/tools, Electric Motor operated, etc. Purchase karne ke liye financial assistance milegi.
320	ok	Nirman Shramik Jeevan va Bhavishya Suraksha Yojana	Pradhan Mantri Suraksha Bima Yojana (PMSBY) 100% reimbursement of annual premium amount (₹12) Premium amount is fully reimbursed through electronic transfer No partial reimbursement option is available Beneficiary must show proof of premium deduction in bank passbook Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) 50%	Pradhan Mantri Suraksha Bima Yojana (PMSBY) mein annual premium amount (₹12) ka 100% reimbursement hota hai. Premium amount fully electronic transfer ke through reimburse ho jata hai. Beneficiary ko bank passbook mein premium deduction ka proof dikhana hoga. Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) 50%
272	NUMBERS-LOST	"Financial Grant for Reactivation of Mechanised Boats" under "Financial Assistance for Availing Subsidy Components for the Development of Marine Fisheries"	A financial grant for the reactivation of a registered wooden/steel mechanized boat will be extended at ₹ 10,000 per boat and ₹ 5,000 for a registered fiber-reinforced plastic mechanized boat.	
230	ok	Workers In Case Of His Partial Permanent Disablement-JKBOCWWB	Under the scheme, Rs. 1,00,000 is provided to registered BOC workers in case of partial permanent disablement.	Iss scheme ke tahat, registered BOC workers ko Rs. 1,00,000 diye jaate hain, partial permanent disablement hone par.
214	ok	"Monthly Grant To Old Crafts Persons (Pension)" Component of the "Development of Handicrafts" Scheme	A monthly grant of ₹2,000/-. This financial assistance continues until the lifetime of the beneficiary, subject to renewal every year.	Rs. 2,000/- ki monthly grant. Yah financial assistance beneficiary ke lifetime tak chalti hai, har year renewal ke saath.
212	ok	"Infrastructure Development Subsidy (For IT/ITES)" under "Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries"	30% subsidy, subject to a maximum of ₹1,00,00,000/-.	30% subsidy, maximum ₹1,00,00,000/- tak.
209	ok	"Assistance for Technology Acquisition" under "Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries"	Assistance: 50%. Ceiling: ₹10,00,000/-. Purpose: Acquisition of Appropriate Technology in Any Form for Specific Product/ Process.	Assistance: 50%. Ceiling: Rs. 10,00,000/-. Purpose: Kisi specific product/process ke liye appropriate technology ko kisi bhi form mein acquire karna.
171	ok	"Infrastructure Subsidy" under "Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"	25% subsidy subject to a maximum of ₹1,00,00,000/-.	25% subsidy, maximum ₹1,00,00,000/- tak.
167	ok	"Subsidy to Pollution Control Equipment" under "Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries"	Subsidy of 25%, up to a maximum of ₹5,00,000/-.	25% ki subsidy, maximum ₹5,00,000/- tak.
166	NUMBERS-LOST	'Rent Subsidy for Sales Emporia Established by Handicrafts / Micro & Small Industries Emporium' under 'Marketing And Publicity'	Rent subsidy to Sales Emporium/Showroom at the rate of 90% subsidy subject to maximum of ₹10, 000/- per month for three years.	
162	ok	The West Bengal Incentive Scheme: Subsidy for Quality Improvement	50%, subject to a maximum of ₹ 7,50,000/-.	50%, maximum Rs. 7,50,000/- tak.
121	ok	"Reactivation Of Fisheries Cooperative Societies" Component of the "Mukhyamantri Maschyajibi Kalyan Yojana" Scheme	A one-time revolving fund of ₹2,00,000/-.	Rs. 2,00,000/- ka one-time revolving fund.
119	ok	"Fishing Ban Period Assistance" under "Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"	100 kgs. of rice and a cash dole at ₹ 750/- per fishermen's family during the period of ban on fishing during the year.	100 kgs. saal bhar fishing ban ke dauraan, fisherman ki family ke liye Rs. 750/- per fisherman's family rice aur cash dole ka.
116	ok	"Training in Silk" Component of the "Development of Silk" Scheme	For Trainees Monthly stipend of ₹1500. For Master Trainer An honorarium of ₹500 per trainee per month (up to ₹5000).	Trainees ke liye Rs. 1500 ka monthly stipend. Master Trainer ke liye Rs. 500 per trainee per month (₹5000 tak) ka honorarium.
113	ok	15 Days Skill Up-gradation Training	Stipend of ₹7,000/-. Skill development training for construction workers.	Rs. 7,000/- ka Stipend. Construction Workers ke liye Skill development training.
